Data,Impressions,Link Clicks
17/03/2022,17352,179
17/03/2022,2385,46
17/03/2022,1186,16
17/03/2022,1019,18
17/03/2022,721,5
17/03/2022,1545,17
17/03/2022,1355,9
17/03/2022,2219,28
17/03/2022,557,8
17/03/2022,226,
17/03/2022,470,9
17/03/2022,7708,139
17/03/2022,7430,167
17/03/2022,84,3
17/03/2022,418,5
17/03/2022,72,1
17/03/2022,71,1
17/03/2022,58,
17/03/2022,12754,150
17/03/2022,7544,112
17/03/2022,711,11
17/03/2022,4149,93
17/03/2022,671,7
17/03/2022,3166,80
17/03/2022,1888,45
17/03/2022,186,3
17/03/2022,441,13
17/03/2022,214,4
17/03/2022,624,6
17/03/2022,256,9
17/03/2022,19136,940
17/03/2022,5414,214
17/03/2022,4530,196
17/03/2022,26684,1229
17/03/2022,8096,160
17/03/2022,5121,76
17/03/2022,4561,129
17/03/2022,20946,393
17/03/2022,13384,345
17/03/2022,15444,451
17/03/2022,2227,58
17/03/2022,3874,154
17/03/2022,15943,740
18/03/2022,81,1
18/03/2022,94,1
18/03/2022,116,
18/03/2022,544,2
18/03/2022,373,5
18/03/2022,700,9
18/03/2022,866,38
18/03/2022,812,24
18/03/2022,386,5
18/03/2022,299,9
18/03/2022,196,6
18/03/2022,3399,62
18/03/2022,10610,122
18/03/2022,974,17
18/03/2022,545,8
18/03/2022,581,6
18/03/2022,495,9
18/03/2022,853,19
18/03/2022,251,14
18/03/2022,266,3
18/03/2022,229,4
18/03/2022,184,2
18/03/2022,416,10
18/03/2022,6639,142
18/03/2022,7857,172
18/03/2022,26,3
18/03/2022,124,
18/03/2022,1160,17
18/03/2022,1809,37
18/03/2022,954,13
18/03/2022,878,15
18/03/2022,1705,42
18/03/2022,12227,116
18/03/2022,5656,75
18/03/2022,1672,21
18/03/2022,5083,90
18/03/2022,1458,19
18/03/2022,2518,46
18/03/2022,1799,50
18/03/2022,279,4
18/03/2022,726,15
18/03/2022,458,3
18/03/2022,789,8
18/03/2022,573,8
18/03/2022,11515,356
18/03/2022,5504,262
18/03/2022,8897,437
18/03/2022,20390,880
18/03/2022,7227,156
18/03/2022,19164,583
18/03/2022,1618,25
18/03/2022,28819,531
18/03/2022,32407,759
18/03/2022,27680,616
18/03/2022,3907,81
18/03/2022,3580,163
18/03/2022,40527,1804
18/03/2022,7004,105
18/03/2022,6615,88
18/03/2022,78,
18/03/2022,29,
18/03/2022,86,
18/03/2022,6,
18/03/2022,108,3
18/03/2022,84,
18/03/2022,483,7
18/03/2022,49,2
18/03/2022,531,9
19/03/2022,112,
19/03/2022,50,
19/03/2022,262,3
19/03/2022,90,1
19/03/2022,167,3
19/03/2022,370,7
19/03/2022,1414,38
19/03/2022,1001,9
19/03/2022,491,10
19/03/2022,220,
19/03/2022,120,2
19/03/2022,3485,35
19/03/2022,13182,118
19/03/2022,1025,16
19/03/2022,495,8
19/03/2022,588,9
19/03/2022,448,5
19/03/2022,926,8
19/03/2022,209,2
19/03/2022,232,4
19/03/2022,7030,138
19/03/2022,7474,127
19/03/2022,45,1
19/03/2022,242,6
19/03/2022,1590,15
19/03/2022,3173,36
19/03/2022,1620,20
19/03/2022,1815,21
19/03/2022,5000,74
19/03/2022,1510,20
19/03/2022,206,3
19/03/2022,78,
19/03/2022,11869,109
19/03/2022,5896,71
19/03/2022,1567,9
19/03/2022,5381,56
19/03/2022,1182,21
19/03/2022,2056,46
19/03/2022,1737,35
19/03/2022,307,3
19/03/2022,1094,20
19/03/2022,421,5
19/03/2022,749,10
19/03/2022,425,7
19/03/2022,5315,254
19/03/2022,3430,180
19/03/2022,5502,190
19/03/2022,18044,743
19/03/2022,30763,955
19/03/2022,5340,214
19/03/2022,3089,87
19/03/2022,26112,821
19/03/2022,25842,460
19/03/2022,22810,396
19/03/2022,3897,44
19/03/2022,9487,734
19/03/2022,31252,1965
19/03/2022,9404,90
19/03/2022,5506,44
19/03/2022,144,
19/03/2022,23,1
19/03/2022,125,6
